32:1293988, ack 721, win 501, length 156
02:45:24.228880 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1910800:1910964, ack 1081, win 501, length 164
02:45:24.229015 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1910964:1911128, ack 1081, win 501, length 164
02:45:24.229088 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1911128:1911292, ack 1081, win 501, length 164
02:45:24.229282 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1911292:1911456, ack 1081, win 501, length 164
02:45:24.229459 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1911456:1911620, ack 1081, win 501, length 164
02:45:24.229505 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1911620:1911784, ack 1081, win 501, length 164
02:45:24.229576 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1911784:1911948, ack 1081, win 501, length 164
02:45:24.229795 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1911948:1912112, ack 1081, win 501, length 164
02:45:24.229857 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1912112:1912276, ack 1081, win 501, length 164
02:45:24.230099 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1912276:1912440, ack 1081, win 501, length 164
02:45:24.230571 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1912440:1912604, ack 1081, win 501, length 164
02:45:24.230923 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1912604:1912768, ack 1081, win 501, length 164
02:45:24.231071 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1912768:1912932, ack 1081, win 501, length 164
02:45:24.231749 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1912932:1913096, ack 1081, win 501, length 164
02:45:24.231901 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1913096:1913260, ack 1081, win 501, length 164
02:45:24.231972 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1913260:1913424, ack 1081, win 501, length 164
02:45:24.232029 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1913424:1913588, ack 1081, win 501, length 164
02:45:24.232081 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1913588:1913752, ack 1081, win 501, length 164
02:45:24.232130 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1913752:1913916, ack 1081, win 501, length 164
02:45:24.232183 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1913916:1914080, ack 1081, win 501, length 164
02:45:24.232232 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1914080:1914244, ack 1081, win 501, length 164
02:45:24.232282 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1914244:1914408, ack 1081, win 501, length 164
02:45:24.232328 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1914408:1914572, ack 1081, win 501, length 164
02:45:24.232374 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1914572:1914736, ack 1081, win 501, length 164
02:45:24.232425 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1914736:1914900, ack 1081, win 501, length 164
02:45:24.232510 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1908996, win 8337, length 0
02:45:24.232510 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1912440, win 8337, length 0
02:45:24.232557 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1914900:1915064, ack 1081, win 501, length 164
02:45:24.232669 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1915064:1915428, ack 1081, win 501, length 364
02:45:24.232720 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1915428:1915592, ack 1081, win 501, length 164
02:45:24.232767 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1915592:1915756, ack 1081, win 501, length 164
02:45:24.232943 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1915756:1915920, ack 1081, win 501, length 164
02:45:24.233145 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1915920:1916084, ack 1081, win 501, length 164
02:45:24.233215 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1916084:1916248, ack 1081, win 501, length 164
02:45:24.233266 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1916248:1916412, ack 1081, win 501, length 164
02:45:24.233312 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1916412:1916576, ack 1081, win 501, length 164
02:45:24.233404 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1916576:1916740, ack 1081, win 501, length 164
02:45:24.233459 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1916740:1916904, ack 1081, win 501, length 164
02:45:24.233506 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1916904:1917068, ack 1081, win 501, length 164
02:45:24.233554 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1917068:1917232, ack 1081, win 501, length 164
02:45:24.233602 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1917232:1917396, ack 1081, win 501, length 164
02:45:24.233649 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1917396:1917560, ack 1081, win 501, length 164
02:45:24.233823 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1917560:1917724, ack 1081, win 501, length 164
02:45:24.233978 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1917724:1917888, ack 1081, win 501, length 164
02:45:24.234466 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1914900, win 8337, length 0
02:45:24.234727 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1917888:1918052, ack 1081, win 501, length 164
02:45:24.235379 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1918052:1918312, ack 1081, win 501, length 260
02:45:24.235467 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1918312:1918476, ack 1081, win 501, length 164
02:45:24.235575 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1918476:1918640, ack 1081, win 501, length 164
02:45:24.235641 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1918640:1918804, ack 1081, win 501, length 164
02:45:24.235823 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1918804:1918968, ack 1081, win 501, length 164
02:45:24.235871 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1918968:1919132, ack 1081, win 501, length 164
02:45:24.235917 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1919132:1919296, ack 1081, win 501, length 164
02:45:24.236171 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1919296:1919460, ack 1081, win 501, length 164
02:45:24.236273 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1919460:1919624, ack 1081, win 501, length 164
02:45:24.236472 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1917888, win 8337, length 0
02:45:24.236510 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1919624:1919788, ack 1081, win 501, length 164
02:45:24.236600 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1919788:1920048, ack 1081, win 501, length 260
02:45:24.236645 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1920048:1920212, ack 1081, win 501, length 164
02:45:24.236868 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1920212:1920376, ack 1081, win 501, length 164
02:45:24.236925 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1920376:1920540, ack 1081, win 501, length 164
02:45:24.236971 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1920540:1920704, ack 1081, win 501, length 164
02:45:24.237017 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1920704:1920868, ack 1081, win 501, length 164
02:45:24.237063 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1920868:1921032, ack 1081, win 501, length 164
02:45:24.237115 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1921032:1921196, ack 1081, win 501, length 164
02:45:24.237164 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1921196:1921360, ack 1081, win 501, length 164
02:45:24.237209 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1921360:1921524, ack 1081, win 501, length 164
02:45:24.237255 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1921524:1921688, ack 1081, win 501, length 164
02:45:24.237448 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1921688:1921852, ack 1081, win 501, length 164
02:45:24.237625 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1921852:1922016, ack 1081, win 501, length 164
02:45:24.237919 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1922016:1922180, ack 1081, win 501, length 164
02:45:24.238000 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1922180:1922344, ack 1081, win 501, length 164
02:45:24.238273 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1922344:1922508, ack 1081, win 501, length 164
02:45:24.238516 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1922508:1922672, ack 1081, win 501, length 164
02:45:24.238579 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1922672:1922836, ack 1081, win 501, length 164
02:45:24.238740 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1922836:1923000, ack 1081, win 501, length 164
02:45:24.238803 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1923000:1923164, ack 1081, win 501, length 164
02:45:24.238869 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1923164:1923328, ack 1081, win 501, length 164
02:45:24.238919 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1923328:1923492, ack 1081, win 501, length 164
02:45:24.238968 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1923492:1923656, ack 1081, win 501, length 164
02:45:24.239016 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1923656:1923820, ack 1081, win 501, length 164
02:45:24.239067 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1923820:1923984, ack 1081, win 501, length 164
02:45:24.239432 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1923984:1924148, ack 1081, win 501, length 164
02:45:24.239563 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1924148:1924312, ack 1081, win 501, length 164
02:45:24.239621 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1924312:1924476, ack 1081, win 501, length 164
02:45:24.239814 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1924476:1924640, ack 1081, win 501, length 164
02:45:24.239878 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1924640:1924804, ack 1081, win 501, length 164
02:45:24.239928 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1924804:1924968, ack 1081, win 501, length 164
02:45:24.239978 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1924968:1925132, ack 1081, win 501, length 164
02:45:24.240080 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1925132:1925296, ack 1081, win 501, length 164
02:45:24.240144 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1925296:1925460, ack 1081, win 501, length 164
02:45:24.240196 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1925460:1925624, ack 1081, win 501, length 164
02:45:24.240246 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1925624:1925788, ack 1081, win 501, length 164
02:45:24.240528 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1919624, win 8337, length 0
02:45:24.240528 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1922508, win 8337, length 0
02:45:24.240583 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1925788:1925952, ack 1081, win 501, length 164
02:45:24.240708 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1925952:1926316, ack 1081, win 501, length 364
02:45:24.240826 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1926316:1926480, ack 1081, win 501, length 164
02:45:24.240933 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1926480:1926644, ack 1081, win 501, length 164
02:45:24.241037 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1926644:1926808, ack 1081, win 501, length 164
02:45:24.241143 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1926808:1926972, ack 1081, win 501, length 164
02:45:24.241438 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1926972:1927136, ack 1081, win 501, length 164
02:45:24.241523 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1927136:1927300, ack 1081, win 501, length 164
02:45:24.241719 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1927300:1927464, ack 1081, win 501, length 164
02:45:24.241842 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1927464:1927628, ack 1081, win 501, length 164
02:45:24.242042 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1927628:1927792, ack 1081, win 501, length 164
02:45:24.242174 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1927792:1927956, ack 1081, win 501, length 164
02:45:24.242282 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1927956:1928120, ack 1081, win 501, length 164
02:45:24.242399 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1928120:1928284, ack 1081, win 501, length 164
02:45:24.242470 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1928284:1928448, ack 1081, win 501, length 164
02:45:24.242520 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1928448:1928612, ack 1081, win 501, length 164
02:45:24.242623 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1928612:1928776, ack 1081, win 501, length 164
02:45:24.242729 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1928776:1928940, ack 1081, win 501, length 164
02:45:24.242841 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1928940:1929104, ack 1081, win 501, length 164
02:45:24.242913 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1929104:1929268, ack 1081, win 501, length 164
02:45:24.243022 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1929268:1929432, ack 1081, win 501, length 164
02:45:24.243324 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1929432:1929596, ack 1081, win 501, length 164
02:45:24.243450 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1925624, win 8337, length 0
02:45:24.243539 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1929596:1929856, ack 1081, win 501, length 260
02:45:24.243705 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1929856:1930020, ack 1081, win 501, length 164
02:45:24.243769 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1930020:1930184, ack 1081, win 501, length 164
02:45:24.243820 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1930184:1930348, ack 1081, win 501, length 164
02:45:24.243869 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1930348:1930512, ack 1081, win 501, length 164
02:45:24.243967 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1930512:1930676, ack 1081, win 501, length 164
02:45:24.244071 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1930676:1930840, ack 1081, win 501, length 164
02:45:24.244163 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1930840:1931004, ack 1081, win 501, length 164
02:45:24.244266 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1931004:1931168, ack 1081, win 501, length 164
02:45:24.244442 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1928120, win 8337, length 0
02:45:24.244510 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1931168:1931332, ack 1081, win 501, length 164
02:45:24.244998 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1931332:1931592, ack 1081, win 501, length 260
02:45:24.245078 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1931592:1931756, ack 1081, win 501, length 164
02:45:24.245137 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1931756:1931920, ack 1081, win 501, length 164
02:45:24.245187 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1931920:1932084, ack 1081, win 501, length 164
02:45:24.245239 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1932084:1932248, ack 1081, win 501, length 164
02:45:24.245289 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1932248:1932412, ack 1081, win 501, length 164
02:45:24.245337 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1932412:1932576, ack 1081, win 501, length 164
02:45:24.245389 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1932576:1932740, ack 1081, win 501, length 164
02:45:24.245439 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1932740:1932904, ack 1081, win 501, length 164
02:45:24.245504 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1932904:1933068, ack 1081, win 501, length 164
02:45:24.245558 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1933068:1933232, ack 1081, win 501, length 164
02:45:24.245611 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1933232:1933396, ack 1081, win 501, length 164
02:45:24.245671 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1933396:1933560, ack 1081, win 501, length 164
02:45:24.245722 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1933560:1933724, ack 1081, win 501, length 164
02:45:24.245771 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1933724:1933888, ack 1081, win 501, length 164
02:45:24.245813 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1933888:1934052, ack 1081, win 501, length 164
02:45:24.245853 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1934052:1934216, ack 1081, win 501, length 164
02:45:24.245904 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1934216:1934380, ack 1081, win 501, length 164
02:45:24.245952 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1934380:1934544, ack 1081, win 501, length 164
02:45:24.246201 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1934544:1934708, ack 1081, win 501, length 164
02:45:24.246282 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1934708:1934872, ack 1081, win 501, length 164
02:45:24.246332 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1934872:1935036, ack 1081, win 501, length 164
02:45:24.246372 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1935036:1935200, ack 1081, win 501, length 164
02:45:24.246494 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1931168, win 8337, length 0
02:45:24.246527 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1935200:1935364, ack 1081, win 501, length 164
02:45:24.246587 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1935364:1935624, ack 1081, win 501, length 260
02:45:24.246688 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1935624:1935788, ack 1081, win 501, length 164
02:45:24.246740 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1935788:1935952, ack 1081, win 501, length 164
02:45:24.246787 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1935952:1936116, ack 1081, win 501, length 164
02:45:24.246834 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1936116:1936280, ack 1081, win 501, length 164
02:45:24.247695 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1936280:1936444, ack 1081, win 501, length 164
02:45:24.247886 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1936444:1936608, ack 1081, win 501, length 164
02:45:24.248048 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1936608:1936772, ack 1081, win 501, length 164
02:45:24.248141 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1936772:1936936, ack 1081, win 501, length 164
02:45:24.248219 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1936936:1937100, ack 1081, win 501, length 164
02:45:24.248318 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1937100:1937264, ack 1081, win 501, length 164
02:45:24.248374 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1937264:1937428, ack 1081, win 501, length 164
02:45:24.248423 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1937428:1937592, ack 1081, win 501, length 164
02:45:24.248469 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1937592:1937756, ack 1081, win 501, length 164
02:45:24.248515 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1937756:1937920, ack 1081, win 501, length 164
02:45:24.248561 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1937920:1938084, ack 1081, win 501, length 164
02:45:24.248607 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1938084:1938248, ack 1081, win 501, length 164
02:45:24.248650 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1938248:1938412, ack 1081, win 501, length 164
02:45:24.248696 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1938412:1938576, ack 1081, win 501, length 164
02:45:24.248748 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1938576:1938740, ack 1081, win 501, length 164
02:45:24.248795 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1938740:1938904, ack 1081, win 501, length 164
02:45:24.248842 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1938904:1939068, ack 1081, win 501, length 164
02:45:24.248887 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1939068:1939232, ack 1081, win 501, length 164
02:45:24.248933 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1939232:1939396, ack 1081, win 501, length 164
02:45:24.249365 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1939396:1939560, ack 1081, win 501, length 164
02:45:24.249464 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1939560:1939724, ack 1081, win 501, length 164
02:45:24.249563 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1939724:1939888, ack 1081, win 501, length 164
02:45:24.249705 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1939888:1940052, ack 1081, win 501, length 164
02:45:24.249996 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1940052:1940216, ack 1081, win 501, length 164
02:45:24.250407 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1940216:1940380, ack 1081, win 501, length 164
02:45:24.250488 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1935200, win 8337, length 0
02:45:24.250488 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1937592, win 8337, length 0
02:45:24.250669 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1940380:1940744, ack 1081, win 501, length 364
02:45:24.250724 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1940744:1940908, ack 1081, win 501, length 164
02:45:24.250769 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1940908:1941072, ack 1081, win 501, length 164
02:45:24.250803 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1941072:1941236, ack 1081, win 501, length 164
02:45:24.250840 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1941236:1941400, ack 1081, win 501, length 164
02:45:24.250875 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1941400:1941564, ack 1081, win 501, length 164
02:45:24.251260 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1941564:1941728, ack 1081, win 501, length 164
02:45:24.251469 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1941728:1941892, ack 1081, win 501, length 164
02:45:24.251565 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1941892:1942056, ack 1081, win 501, length 164
02:45:24.251651 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1942056:1942220, ack 1081, win 501, length 164
02:45:24.251734 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1942220:1942384, ack 1081, win 501, length 164
02:45:24.251810 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1942384:1942548, ack 1081, win 501, length 164
02:45:24.251948 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1942548:1942712, ack 1081, win 501, length 164
02:45:24.252275 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1942712:1942876, ack 1081, win 501, length 164
02:45:24.252377 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1942876:1943040, ack 1081, win 501, length 164
02:45:24.252463 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1943040:1943204, ack 1081, win 501, length 164
02:45:24.252532 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1943204:1943368, ack 1081, win 501, length 164
02:45:24.252585 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1943368:1943532, ack 1081, win 501, length 164
02:45:24.252628 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1943532:1943696, ack 1081, win 501, length 164
02:45:24.252664 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1943696:1943860, ack 1081, win 501, length 164
02:45:24.252698 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1943860:1944024, ack 1081, win 501, length 164
02:45:24.252766 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1944024:1944188, ack 1081, win 501, length 164
02:45:24.252822 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1944188:1944352, ack 1081, win 501, length 164
02:45:24.252874 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1944352:1944516, ack 1081, win 501, length 164
